2021-10-01,Average Tone,-0.3364,,,-0.65024,,
2021-10-02,Average Tone,-1.0915,,,,,
2021-10-03,Average Tone,-1.478,,,,,
2021-10-04,Average Tone,-0.4566,,,,,
2021-10-05,Average Tone,-0.5622,,,,,
2021-10-06,Average Tone,-0.6751,,,,,
2021-10-07,Average Tone,-0.1471,,,,,
2021-10-08,Average Tone,-0.4056,,,,,
2021-10-09,Average Tone,-0.5934,,,,,
2021-10-10,Average Tone,-0.7565,,,,,
2021-11-01,Average Tone,-0.4524,,,-0.88725,,
2021-11-02,Average Tone,-0.2041,,,,,
2021-11-03,Average Tone,-0.8511,,,,,
2021-11-04,Average Tone,-1.3573,,,,,
2021-11-05,Average Tone,-1.0988,,,,,
2021-11-06,Average Tone,-1.0964,,,,,
2021-11-07,Average Tone,-0.6841,,,,,
2021-11-08,Average Tone,-1.0665,,,,,
2021-11-09,Average Tone,-0.6051,,,,,
2021-11-10,Average Tone,-1.4567,,,,,
2021-12-01,Average Tone,-1.4689,,,-1.18439,,
2021-12-02,Average Tone,-0.7996,,,,,
2021-12-03,Average Tone,-1.1131,,,,,
2021-12-04,Average Tone,-1.3913,,,,,
2021-12-05,Average Tone,-1.0164,,,,,
2021-12-06,Average Tone,-1.5998,,,,,
2021-12-07,Average Tone,-1.111,,,,,
2021-12-08,Average Tone,-1.6428,,,,,
2021-12-09,Average Tone,-0.5032,,,,,
2021-12-10,Average Tone,-1.1978,,,,,
2022-01-01,Average Tone,-0.4213,,,-1.58996,,
2022-01-02,Average Tone,-2.2796,,,,,
2022-01-03,Average Tone,-1.2769,,,,,
2022-01-04,Average Tone,-1.3457,,,,,
2022-01-05,Average Tone,-1.8774,,,,,
2022-01-06,Average Tone,-1.5562,,,,,
2022-01-07,Average Tone,-1.3901,,,,,
2022-01-08,Average Tone,-2.7762,,,,,
2022-01-09,Average Tone,-1.1683,,,,,
2022-01-10,Average Tone,-1.8079,,,,,
2022-02-01,Average Tone,-0.3406,,,-1.18377,,
2022-02-02,Average Tone,-1.2044,,,,,
2022-02-03,Average Tone,-1.3039,,,,,
2022-02-04,Average Tone,-1.4185,,,,,
2022-02-05,Average Tone,-1.5744,,,,,
2022-02-06,Average Tone,-1.5581,,,,,
2022-02-07,Average Tone,-1.611,,,,,
2022-02-08,Average Tone,-0.6461,,,,,
2022-02-09,Average Tone,-1.1698,,,,,
2022-02-10,Average Tone,-1.0109,,,,,
2022-03-01,Average Tone,-1.4801,,,-0.88034,,
2022-03-02,Average Tone,-1.1127,,,,,
2022-03-03,Average Tone,-0.8248,,,,,
2022-03-04,Average Tone,-0.7324,,,,,
2022-03-05,Average Tone,-0.3982,,,,,
2022-03-06,Average Tone,-0.6554,,,,,
2022-03-07,Average Tone,-0.396,,,,,
2022-03-08,Average Tone,-0.8066,,,,,
2022-03-09,Average Tone,-1.4012,,,,,
2022-03-10,Average Tone,-0.996,,,,,
2022-04-01,Average Tone,-0.7844,,,-1.07996,,
2022-04-02,Average Tone,-1.0211,,,,,
2022-04-03,Average Tone,-1.9075,,,,,
2022-04-04,Average Tone,-0.3459,,,,,
2022-04-05,Average Tone,-1.0544,,,,,
2022-04-06,Average Tone,-1.5714,,,,,
2022-04-07,Average Tone,-1.2799,,,,,
2022-04-08,Average Tone,-0.8481,,,,,
2022-04-09,Average Tone,-0.949,,,,,
2022-04-10,Average Tone,-1.0379,,,,,
